id;nombre_original;latitud;longitud;nombre_normalizado;tipo;pais;region;estado;municipio;parroquia_sector;direccion_referencial;telefono
63;Colegio Parroquial San Bernardino;10,513644;-66,901079;;ESCUELA;VENEZUELA;;;;;;
64;Colegio Juana de Arco;10,5168192;-66,8970556;;ESCUELA;VENEZUELA;;;;;;
65;U.E.N. Vicente Landaeta;10,5179095;-66,8997023;;ESCUELA;VENEZUELA;;;;;;
66;U.E. José Vargas;10,5199837;-66,900682;;ESCUELA;VENEZUELA;;;;;;
67;Colegio Ohr Jabad;10,5149441;-66,9027527;;ESCUELA;VENEZUELA;;;;;;
68;U.E.N. Amelia Cocking;10,5194564;-66,9007705;;ESCUELA;VENEZUELA;;;;;;
69;Colegio Virgen de Coromoto;10,5121673;-66,903316;;ESCUELA;VENEZUELA;;;;;;
70;Colegio San Pedro;10,4847208;-66,891447;;ESCUELA;VENEZUELA;;;;;;
71;Ue Liceo Leopoldo Aguerrevere;10,4855623;-66,8893632;;ESCUELA;VENEZUELA;;;;;;
72;Instituto de Educación Especial Mevorah Flore;10,4837002;-66,8754073;;ESCUELA;VENEZUELA;;;;;;
73;Colegio Virgen de la Montaña;10,4918182;-66,8759517;;ESCUELA;VENEZUELA;;;;;;
74;U.E.N. Julio Bustamante;10,4893047;-66,8732592;;ESCUELA;VENEZUELA;;;;;;
75;Escuela 19 de Abril;10,4988872;-66,9242171;;ESCUELA;VENEZUELA;;;;;;
76;Colegio Siete Estrellas;10,4997747;-66,8833814;;ESCUELA;VENEZUELA;;;;;;
77;Colegio Cristobal Colón;10,5027337;-66,877443;;ESCUELA;VENEZUELA;;;;;;
78;U.E. Elías Rodríguez;10,4934242;-66,9106675;;ESCUELA;VENEZUELA;;;;;;
79;U.E.N. Juan Bautita Della Costa;10,4928254;-66,9130198;;ESCUELA;VENEZUELA;;;;;;
80;U.E. José de Oviedo y Baños;10,4928887;-66,9105254;;ESCUELA;VENEZUELA;;;;;;
81;Escuela Nerida Siso de Vazquez;10,4951845;-66,9031716;;ESCUELA;VENEZUELA;;;;;;
82;Escuela Municipal Andrés Bello;10,4946771;-66,8532552;;ESCUELA;VENEZUELA;;;;;;
83;U.E. Colegio El Alba;10,5051126;-66,8447553;;ESCUELA;VENEZUELA;;;;;;
84;U.E.N. José Felix Ribas;10,5044165;-66,8367329;;ESCUELA;VENEZUELA;;;;;;
85;Colegio Rodríguez Paz;10,5077947;-66,8359012;;ESCUELA;VENEZUELA;;;;;;
86;Colegio San Marcos Evangelista;10,4848977;-66,8334364;;ESCUELA;VENEZUELA;;;;;;
87;Colegio Patria;10,4995004;-66,8306062;;ESCUELA;VENEZUELA;;;;;;
88;U.E. María Auxiliadora;10,4946847;-66,8251725;;ESCUELA;VENEZUELA;;;;;;
89;Colegio Eleazar Lopéz Contreras;10,4963225;-66,8256982;;ESCUELA;VENEZUELA;;;;;;
90;U.E.P Almirante José Prudencio Padilla;10,4796835;-66,8185958;;ESCUELA;VENEZUELA;;;;;;
91;Instituto Didáctico Andrés Bello;10,4779928;-66,8213799;;ESCUELA;VENEZUELA;;;;;;
92;Colegio Nuestra Señora de la Guía;10,4794566;-66,8207925;;ESCUELA;VENEZUELA;;;;;;
93;Colegio Manuel Piar;10,477257;-66,8136631;;ESCUELA;VENEZUELA;;;;;;
94;Escuela Leoncio Martínez;10,4777501;-66,813883;;ESCUELA;VENEZUELA;;;;;;
95;Escuela Municipal Simón Rodríguez;10,4948244;-66,8142452;;ESCUELA;VENEZUELA;;;;;;
96;Colegio Laura Vicuña;10,4974064;-66,8119817;;ESCUELA;VENEZUELA;;;;;;
97;Colegio Cruz Carrillo;10,4978492;-66,8116706;;ESCUELA;VENEZUELA;;;;;;
98;Colegio Bertrand Russell;10,4829653;-66,7938962;;ESCUELA;VENEZUELA;;;;;;
99;U.E. Nuestra Señora de la Encarnación;10,4816229;-66,7946714;;ESCUELA;VENEZUELA;;;;;;
100;Colegio Macaracuay;10,4638371;-66,812302;;ESCUELA;VENEZUELA;;;;;;
101;Escuela Básica Colegio Divina Presencia;10,4316343;-66,980274;;ESCUELA;VENEZUELA;;;;;;
